edge,s_node,e_node,s_lng,s_lat,e_lng,e_lat
0,0,9086,-122.390985,37.7859523,-122.3646896,37.8104574
1,1,7551,-122.4241236,37.7313533,-122.4203647,37.7316169
2,1,9486,-122.4241236,37.7313533,-122.415164,37.7320411
3,2,4763,-122.4132611,37.7327065,-122.4015296,37.7379996
4,2,7876,-122.4132611,37.7327065,-122.4076986,37.740917
5,3,8357,-122.4034504,37.8050417,-122.4036563,37.8049634
6,3,9674,-122.4034504,37.8050417,-122.4033518,37.805123
7,3,9663,-122.4034504,37.8050417,-122.4031918,37.8048548
8,4,760,-122.4164837,37.7990541,-122.417328,37.7989484
9,5,7,-122.3911917,37.7705805,-122.3911048,37.7696737
10,5,7559,-122.3911917,37.7705805,-122.3912318,37.7709988
11,5,7362,-122.3911917,37.7705805,-122.3895885,37.7706766
12,6,7,-122.3927659,37.7695721,-122.3911048,37.7696737
13,6,8353,-122.3927659,37.7695721,-122.3944287,37.7694731
14,6,7945,-122.3927659,37.7695721,-122.3928533,37.7704808
15,7,6,-122.3911048,37.7696737,-122.3927659,37.7695721
16,7,7433,-122.3911048,37.7696737,-122.3909224,37.7677721
17,7,5,-122.3911048,37.7696737,-122.3911917,37.7705805
18,7,9479,-122.3911048,37.7696737,-122.3895013,37.7697631
19,8,7363,-122.3894111,37.7711091,-122.3896285,37.771096
20,8,7458,-122.3894111,37.7711091,-122.3895081,37.7720119
21,9,7455,-122.3866019,37.771278,-122.3878323,37.7712048
22,9,7457,-122.3866019,37.771278,-122.3869899,37.7721675
23,9,10,-122.3866019,37.771278,-122.3864767,37.7708625
24,10,9,-122.3864767,37.7708625,-122.3866019,37.771278
25,10,11,-122.3864767,37.7708625,-122.3863311,37.7690188
26,11,12,-122.3863311,37.7690188,-122.3876163,37.7689303
27,11,10,-122.3863311,37.7690188,-122.3864767,37.7708625
28,11,8588,-122.3863311,37.7690188,-122.3861439,37.7671089
29,12,11,-122.3876163,37.7689303,-122.3863311,37.7690188
30,12,156,-122.3876163,37.7689303,-122.387792,37.7707844
31,12,7459,-122.3876163,37.7689303,-122.3891909,37.768836
32,13,14,-122.4118788,37.8053702,-122.413529,37.8051503
33,13,1354,-122.4118788,37.8053702,-122.4119718,37.8058335
34,13,2012,-122.4118788,37.8053702,-122.4117828,37.8048939
35,14,1355,-122.413529,37.8051503,-122.4136195,37.8056285
36,14,2013,-122.413529,37.8051503,-122.4134294,37.804684
37,15,16,-122.386139,37.723583,-122.386628,37.72304
38,16,15,-122.386628,37.72304,-122.386139,37.723583
39,16,797,-122.386628,37.72304,-122.388515,37.7241122
40,16,7929,-122.386628,37.72304,-122.3854326,37.7223841
41,17,800,-122.388419,37.7212302,-122.3901961,37.7222322
42,18,801,-122.3894613,37.7199375,-122.3907642,37.7216048
43,18,802,-122.3894613,37.7199375,-122.3913223,37.7209788
44,18,19,-122.3894613,37.7199375,-122.39002,37.719298
45,18,5399,-122.3894613,37.7199375,-122.3891202,37.7196961
46,19,2323,-122.39002,37.719298,-122.3868718,37.7175052
47,19,803,-122.39002,37.719298,-122.39187,37.720349
48,19,18,-122.39002,37.719298,-122.3894613,37.7199375
49,19,20,-122.39002,37.719298,-122.390564,37.718688
50,20,804,-122.390564,37.718688,-122.392418,37.71974
51,20,21,-122.390564,37.718688,-122.391135,37.7180602
52,20,19,-122.390564,37.718688,-122.39002,37.719298
53,20,6490,-122.390564,37.718688,-122.3900046,37.7183391
54,21,7714,-122.391135,37.7180602,-122.3915575,37.7175683
55,21,20,-122.391135,37.7180602,-122.390564,37.718688
56,21,1792,-122.391135,37.7180602,-122.3920565,37.7185891
57,21,2594,-122.391135,37.7180602,-122.3892847,37.7169629
58,22,7714,-122.391593,37.7175125,-122.3915575,37.7175683
59,22,59,-122.391593,37.7175125,-122.3900339,37.7161347
60,22,60,-122.391593,37.7175125,-122.3924653,37.7178997
61,22,9180,-122.391593,37.7175125,-122.3920687,37.7169524
62,23,24,-122.381564,37.728678,-122.382126,37.728051
63,23,788,-122.381564,37.728678,-122.383431,37.729738
64,23,6348,-122.381564,37.728678,-122.3800251,37.7278041
