section_id,s_node,e_node,length,max_speed
0,0,9086,3572.628,65.0
1,1,7551,333.165,65.0
2,1,9486,794.493,65.0
3,2,4763,1196.6650000000004,65.0
4,2,7876,1176.4899999999998,65.0
5,3,8357,20.33,45.0
6,3,9674,12.52,45.0
7,3,9663,30.791,65.0
8,4,760,75.108,45.0
9,5,7,101.12,45.0
10,5,7559,46.646,45.0
11,5,7362,141.32099999999997,45.0
12,6,7,146.52,45.0
13,6,8353,146.56900000000002,35.0
14,6,7945,101.335,35.0
15,7,6,146.52,45.0
16,7,7433,212.056,45.0
17,7,5,101.12,45.0
18,7,9479,141.306,45.0
19,8,7363,19.164,45.0
20,8,7458,100.754,65.0
21,9,7455,108.454,45.0
22,9,7457,104.625,45.0
23,9,10,47.538,45.0
24,10,9,47.538,45.0
25,10,11,205.427,45.0
26,11,12,113.397,45.0
27,11,10,205.427,45.0
28,11,8588,213.015,45.0
29,12,11,113.397,45.0
30,12,156,206.746,45.0
31,12,7459,138.801,45.0
32,13,14,147.026,45.0
33,13,1354,52.16100000000001,45.0
34,13,2012,53.63,45.0
35,14,1355,53.765,45.0
36,14,2013,52.592,45.0
37,15,16,74.131,45.0
38,16,15,74.131,45.0
39,16,797,204.35,45.0
40,16,7929,127.971,45.0
41,17,800,191.95,45.0
42,18,801,280.743,45.0
43,18,802,200.527,45.0
44,18,19,86.43900000000001,45.0
45,18,5399,40.42,45.0
46,19,2323,341.215,45.0
47,19,803,200.342,45.0
48,19,18,86.43900000000001,45.0
49,19,20,83.00999999999999,45.0
50,20,804,200.691,45.0
51,20,21,86.00200000000001,45.0
52,20,19,83.00999999999999,45.0
53,20,6490,62.947,45.0
54,21,7714,66.131,45.0
55,21,20,86.00200000000001,45.0
56,21,1792,100.15,45.0
57,21,2594,203.572,45.0
58,22,7714,6.946,45.0
59,22,59,207.24,45.0
60,22,60,87.99,45.0
61,22,9180,75.031,45.0
62,23,24,85.462,45.0
63,23,788,202.12000000000003,45.0
64,23,6348,166.612,45.0
65,24,25,85.321,45.0
66,24,23,85.462,45.0
67,24,789,202.256,45.0
68,24,2225,44.759,45.0
69,25,26,85.411,45.0
70,25,24,85.321,45.0
71,25,790,202.329,45.0
72,25,4102,34.418,45.0
73,26,27,85.46300000000001,45.0
74,26,25,85.411,45.0
75,26,791,202.539,45.0
76,26,5944,202.54,45.0
77,27,26,85.46300000000001,45.0
78,27,1258,202.607,45.0
79,27,792,202.611,45.0
80,28,794,184.473,45.0
81,29,30,84.771,45.0
82,29,9449,120.934,45.0
83,29,5858,86.343,45.0
84,30,5043,76.302,45.0
85,30,29,84.771,45.0
86,30,9449,96.247,45.0
87,31,8634,154.304,45.0
88,31,3220,87.51799999999999,45.0
89,31,4333,124.84100000000004,45.0
90,32,8634,11.125,45.0
91,32,5654,189.385,45.0
92,32,33,34.089,45.0
93,33,34,189.765,45.0
94,33,5884,285.762,45.0
95,33,32,34.089,45.0
96,34,33,189.765,45.0
97,35,36,207.334,45.0
98,35,5353,93.826,45.0
99,35,5884,97.237,45.0
100,36,35,207.334,45.0
