node,lng,lat
0,-122.390985,37.7859523
1,-122.4241236,37.7313533
2,-122.4132611,37.7327065
3,-122.4034504,37.8050417
4,-122.4164837,37.7990541
5,-122.3911917,37.7705805
6,-122.3927659,37.7695721
7,-122.3911048,37.7696737
8,-122.3894111,37.7711091
9,-122.3866019,37.771278
10,-122.3864767,37.7708625
11,-122.3863311,37.7690188
12,-122.3876163,37.7689303
13,-122.4118788,37.8053702
14,-122.413529,37.8051503
15,-122.386139,37.723583
16,-122.386628,37.72304
17,-122.388419,37.7212302
18,-122.3894613,37.7199375
19,-122.39002,37.719298
20,-122.390564,37.718688
21,-122.391135,37.7180602
22,-122.391593,37.7175125
23,-122.381564,37.728678
24,-122.382126,37.728051
25,-122.382687,37.727425
26,-122.383248,37.726798
27,-122.38381,37.726171
28,-122.3851264,37.7250218
29,-122.3770005,37.7335986
30,-122.377649,37.73307
31,-122.4687333,37.752212
32,-122.4690178,37.7508087
33,-122.4686316,37.7508352
34,-122.4685327,37.7492161
35,-122.4684993,37.7489418
36,-122.4683702,37.74708
37,-122.4711296,37.7863889
38,-122.4709958,37.7845276
39,-122.4708615,37.7826596
40,-122.4705849,37.778812
41,-122.4704505,37.7769424
42,-122.4703166,37.7750785
43,-122.4682103,37.7448686
44,-122.4681611,37.744127
45,-122.4681124,37.7433923
46,-122.4696804,37.7658342
47,-122.469545,37.7639075
48,-122.4692852,37.7601763
49,-122.4691548,37.7583097
50,-122.4690246,37.7564454
51,-122.4689545,37.7552316
52,-122.4084965,37.7749327
53,-122.4083293,37.7747987
54,-122.4077779,37.7743588
55,-122.4815695,37.7906893
56,-122.4809354,37.790563
57,-122.4808543,37.7906099
58,-122.3864495,37.7111539
59,-122.3900339,37.7161347
60,-122.3924653,37.7178997
61,-122.39261,37.7179691
62,-122.393545,37.718487
63,-122.3954611,37.7195594
64,-122.397309,37.7206065
65,-122.4501293,37.7204823
66,-122.450852,37.7193559
67,-122.4562632,37.7965829
68,-122.4576569,37.7941248
69,-122.426389,37.7336837
70,-122.4277144,37.733566
71,-122.4285745,37.7334845
72,-122.4311489,37.73318
73,-122.4319773,37.7330011
74,-122.4328258,37.7333561
75,-122.4341379,37.7336038
76,-122.4349924,37.7337754
77,-122.4366692,37.7340737
78,-122.4399937,37.7348747
79,-122.4419063,37.7359776
80,-122.4316897,37.7316437
81,-122.432147,37.7322495
82,-122.438435,37.7343496
83,-122.455928,37.708354
84,-122.4576804,37.709549
85,-122.3719647,37.733143
86,-122.3739205,37.7309563
87,-122.3779849,37.7266122
88,-122.3863094,37.7171906
89,-122.3851901,37.7184431
90,-122.4500385,37.7511437
91,-122.4495919,37.7541308
92,-122.4535131,37.7445991
93,-122.4526894,37.7438716
94,-122.4301235,37.7644163
95,-122.430091,37.7640853
96,-122.4016133,37.7778393
97,-122.400319,37.7778095
98,-122.4259102,37.7746045
99,-122.423325,37.7718656
100,-122.4198591,37.7703896
101,-122.4080303,37.7391115
102,-122.467236,37.7996087
103,-122.474293,37.719809
104,-122.3940468,37.7852059
105,-122.432678,37.712886
106,-122.4330165,37.7127244
107,-122.4939058,37.7332051
108,-122.4055609,37.7491621
109,-122.4065082,37.748957
110,-122.4067512,37.7487187
111,-122.4027136,37.7520812
112,-122.4029714,37.7495355
113,-122.4035409,37.7490088
114,-122.4038924,37.7498639
115,-122.4033474,37.7514659
116,-122.40411,37.7496784
117,-122.401857,37.7790353
118,-122.3963904,37.7823664
119,-122.4743876,37.7175065
120,-122.491574,37.7337798
121,-122.4048807,37.768536
122,-122.4043129,37.7463266
123,-122.4038324,37.7460665
124,-122.3967418,37.7431804
125,-122.460801,37.8000521
126,-122.4611674,37.7999664
127,-122.495416,37.73375
128,-122.4938307,37.7321324
129,-122.4072528,37.7375715
130,-122.408838,37.7357844
131,-122.4753016,37.8066603
132,-122.4754212,37.8063379
133,-122.4747347,37.8063224
134,-122.4743306,37.8069934
135,-122.4738858,37.8072131
136,-122.4060675,37.7739075
137,-122.4049008,37.7743967
138,-122.4054471,37.7748326
139,-122.4043362,37.7763807
140,-122.4220731,37.7499176
141,-122.4088531,37.7368462
142,-122.399635,37.7807911
143,-122.3979855,37.7181861
144,-122.3981949,37.7168264
145,-122.4365434,37.7315777
146,-122.4307097,37.7340042
147,-122.4344721,37.7325415
148,-122.4311378,37.7336215
149,-122.436591,37.743904
150,-122.4326633,37.7345445
151,-122.4715158,37.7142281
152,-122.4698369,37.7127383
153,-122.392499,37.751285
154,-122.3920194,37.7516609
155,-122.3920742,37.7505284
156,-122.387792,37.7707844
157,-122.4503458,37.7933396
158,-122.4503161,37.7936516
159,-122.3924632,37.7562539
160,-122.3922441,37.7533476
161,-122.3927828,37.7537182
162,-122.3906908,37.7526646
163,-122.3919907,37.7558297
164,-122.394533,37.7663056
165,-122.3930806,37.7633265
166,-122.3929587,37.7627923
167,-122.393181,37.7640696
168,-122.3925696,37.7606346
169,-122.406891,37.7690186
170,-122.408536,37.7713009
171,-122.4097443,37.7703545
172,-122.3997663,37.7189831
173,-122.3989424,37.7188433
174,-122.4546,37.802174
175,-122.4050938,37.7448578
176,-122.4035955,37.7474869
177,-122.4036361,37.7479122
178,-122.4937514,37.7332119
179,-122.4924805,37.7338956
180,-122.4936753,37.7321258
181,-122.415725,37.7696352
182,-122.3996997,37.7177066
183,-122.4558876,37.7965605
184,-122.4741623,37.8073076
185,-122.4651976,37.798255
186,-122.4627791,37.8008617
187,-122.4637634,37.8014231
188,-122.4662955,37.7993847
189,-122.4316382,37.733783
190,-122.3856102,37.7606795
191,-122.4458575,37.7265186
192,-122.4472587,37.7249139
193,-122.4490227,37.723033
194,-122.4477848,37.7211225
195,-122.446572,37.7249815
196,-122.4047495,37.7464093
197,-122.4046139,37.7484849
198,-122.4063861,37.7488295
199,-122.4511848,37.7143576
200,-122.4552202,37.7118203
201,-122.4706332,37.7127152
202,-122.4711665,37.7125409
203,-122.4712324,37.7129786
204,-122.4709658,37.712818
205,-122.4123347,37.7334131
206,-122.398188,37.7795605
207,-122.4260983,37.7755395
208,-122.4103679,37.7163953
209,-122.4965288,37.7641086
210,-122.4959747,37.7627407
211,-122.4954216,37.7636032
212,-122.40355,37.7481295
213,-122.4221964,37.7812848
214,-122.4056448,37.7498571
215,-122.392077,37.7867713
216,-122.4039966,37.7311779
217,-122.4041026,37.7312558
218,-122.4482985,37.80448
219,-122.4483822,37.8047335
220,-122.4570085,37.7102548
221,-122.4189679,37.732235
222,-122.4024825,37.7266031
223,-122.3958241,37.7776755
224,-122.4042207,37.7451801
225,-122.4039108,37.7457071
226,-122.4613692,37.7952503
227,-122.4616682,37.7955305
228,-122.4489038,37.7783974
229,-122.3982055,37.7352905
230,-122.405095,37.776113
231,-122.4066189,37.7720567
232,-122.4756869,37.7197849
233,-122.4268264,37.804193
234,-122.409733,37.7355192
235,-122.4015643,37.7249698
236,-122.4063783,37.7754644
237,-122.4075026,37.7738722
238,-122.4077924,37.7731673
239,-122.4478935,37.7469048
240,-122.4471234,37.7468686
241,-122.4466703,37.7467627
242,-122.3910204,37.785974
243,-122.3930942,37.7850964
244,-122.3957794,37.7862969
245,-122.405894,37.7617853
246,-122.3936734,37.7632954
247,-122.3923685,37.7628271
248,-122.4604378,37.7326292
249,-122.392734,37.7531466
250,-122.3926171,37.7519531
251,-122.4551228,37.7982284
252,-122.4662965,37.7481275
253,-122.463316,37.750168
254,-122.478685,37.7926788
255,-122.4787623,37.7929505
256,-122.4405741,37.7297331
257,-122.408464,37.7737039
258,-122.4471702,37.7230424
259,-122.4484412,37.721364
260,-122.4485358,37.7188384
261,-122.4200941,37.7083175
262,-122.4713401,37.712534
263,-122.4716883,37.7141768
264,-122.386662,37.7366761
265,-122.4228563,37.784551
266,-122.424719,37.7854292
267,-122.436619,37.7254078
268,-122.4030808,37.7747148
269,-122.4032974,37.7745433
270,-122.3858485,37.7363057
271,-122.3863103,37.7363111
272,-122.4151521,37.7797961
273,-122.4168136,37.7795846
274,-122.4217245,37.7789593
275,-122.4250171,37.7785401
276,-122.426662,37.7783324
277,-122.4298027,37.7779342
278,-122.4307243,37.7778174
279,-122.4315916,37.7777074
280,-122.4381475,37.776872
281,-122.4398652,37.7766536
282,-122.4415072,37.7764448
283,-122.4431449,37.7762357
284,-122.4447938,37.7760252
285,-122.4465376,37.7758035
286,-122.4474655,37.7756853
287,-122.4481262,37.7756008
288,-122.4488751,37.7755051
289,-122.4497281,37.775396
290,-122.4513731,37.7751857
291,-122.4529258,37.7749872
292,-122.454668,37.774764
293,-122.4552749,37.7746873
294,-122.4563068,37.7745557
295,-122.4583894,37.7742984
296,-122.4658983,37.7734035
297,-122.468049,37.7733056
298,-122.4712572,37.7731629
299,-122.471854,37.7731354
300,-122.4723243,37.7731138
301,-122.4777813,37.7728643
302,-122.4788519,37.7728153
303,-122.4820656,37.7726691
304,-122.4842075,37.7725724
305,-122.486349,37.7724761
306,-122.489565,37.7723294
307,-122.5034885,37.7716943
308,-122.5099152,37.7714001
309,-122.5109827,37.7713175
310,-122.4495208,37.7466155
311,-122.4498627,37.7468467
312,-122.4511677,37.7473559
313,-122.4517658,37.7479816
314,-122.4521239,37.7486825
315,-122.452123,37.7493865
316,-122.452129,37.7512455
317,-122.451687,37.752299
318,-122.4511127,37.752553
319,-122.4507506,37.7527502
320,-122.4507157,37.7536228
321,-122.4511271,37.7539342
322,-122.4525821,37.7535558
323,-122.4653391,37.7362922
324,-122.4648989,37.7335996
325,-122.4621847,37.7661655
326,-122.462116,37.765174
327,-122.4620518,37.7642385
328,-122.4619224,37.7623733
329,-122.461794,37.760512
330,-122.460544,37.7595865
331,-122.4637763,37.7886783
332,-122.463637,37.786728
333,-122.4635233,37.7851372
334,-122.4635038,37.7848663
335,-122.4633696,37.7830001
336,-122.4630929,37.779153
337,-122.4629583,37.7772822
338,-122.4628243,37.7754196
339,-122.4594813,37.7662
340,-122.459972,37.7652645
341,-122.4599084,37.764333
342,-122.4597697,37.7629566
343,-122.461494,37.786825
344,-122.4613916,37.7854086
345,-122.4613594,37.7849629
346,-122.4612247,37.7830976
347,-122.4609468,37.7792507
348,-122.4608116,37.7773796
349,-122.460677,37.7755174
350,-122.4658875,37.7435768
351,-122.4667176,37.7413221
352,-122.4680192,37.7400178
353,-122.4696657,37.7385015
354,-122.4709552,37.7376555
355,-122.4731672,37.7375643
356,-122.475383,37.7374593
357,-122.4763947,37.7374162
358,-122.4774662,37.7373712
359,-122.481658,37.7372381
360,-122.4828819,37.7374818
361,-122.487495,37.7369632
362,-122.4901588,37.7379087
363,-122.4903922,37.7378645
364,-122.4924861,37.7370741
365,-122.4941464,37.7366405
366,-122.4946019,37.7366118
367,-122.495677,37.7365641
368,-122.496747,37.7365167
369,-122.4978165,37.7364692
370,-122.4988879,37.7364217
371,-122.4999583,37.7363742
372,-122.5010318,37.7363266
373,-122.5021035,37.7362791
374,-122.5031768,37.7362315
375,-122.5042462,37.736184
376,-122.5053175,37.7361365
377,-122.5062142,37.7360967
378,-122.4313541,37.7366312
379,-122.430806,37.7361001
380,-122.4302478,37.7355589
381,-122.42972,37.7350436
382,-122.4189423,37.7379043
383,-122.4179911,37.7378126
384,-122.4165721,37.737676
385,-122.417837,37.7459644
386,-122.4172368,37.745723
387,-122.4166011,37.7454683
388,-122.4161253,37.7452758
389,-122.4157328,37.7451166
390,-122.4181898,37.7460833
391,-122.474991,37.799961
392,-122.474135,37.799951
393,-122.4736452,37.801872
394,-122.4732504,37.8032758
395,-122.4411712,37.7803083
396,-122.4646105,37.7547706
397,-122.4656806,37.7547232
398,-122.4667518,37.7546757
399,-122.4678139,37.7546281
400,-122.4700302,37.7554422
401,-122.4721407,37.7544197
402,-122.473352,37.7554405
403,-122.4743528,37.7543384
404,-122.4754228,37.7542912
405,-122.476506,37.7542426
406,-122.4775663,37.7541945
407,-122.4786369,37.7541484
408,-122.4797079,37.7541023
409,-122.4807791,37.7540551
410,-122.4818518,37.7540079
411,-122.4829214,37.7539607
412,-122.4839915,37.7539135
413,-122.4850639,37.7538663
414,-122.4861351,37.7538191
415,-122.4872072,37.7537718
416,-122.4882786,37.7537246
417,-122.4893514,37.7536773
418,-122.4904227,37.7536301
419,-122.4914926,37.753583
420,-122.492565,37.7535328
421,-122.4936375,37.7534884
422,-122.4947088,37.7534412
423,-122.4953214,37.7534142
424,-122.4957779,37.753394
425,-122.4968507,37.7533468
426,-122.4979231,37.7532995
427,-122.4989938,37.7532523
428,-122.500064,37.7532051
429,-122.5011364,37.7531579
430,-122.5022081,37.7531106
431,-122.5032804,37.7530634
432,-122.5043519,37.7530161
433,-122.5054221,37.752969
434,-122.5064939,37.7529217
435,-122.5075662,37.7528744
436,-122.5084523,37.7528354
437,-122.4506201,37.8015088
438,-122.4508304,37.8011661
439,-122.4516866,37.7997607
440,-122.4203306,37.7099147
441,-122.4255356,37.7377652
442,-122.4240568,37.7373676
443,-122.4231171,37.7373566
444,-122.4210854,37.7372616
445,-122.4188243,37.737163
446,-122.4180974,37.7371258
447,-122.4166287,37.7370461
448,-122.4237942,37.7345657
449,-122.4228795,37.7343652
450,-122.4223887,37.7338243
451,-122.4220521,37.7331709
452,-122.4259737,37.7318057
453,-122.3969158,37.7326319
454,-122.3985732,37.7315629
455,-122.39897,37.730165
456,-122.4203966,37.7728747
457,-122.4210424,37.772375
458,-122.472726,37.7129857
459,-122.4071699,37.7513209
460,-122.4080611,37.7512669
461,-122.409002,37.7512099
462,-122.4099347,37.7511541
463,-122.4108337,37.751099
464,-122.4117672,37.7510425
465,-122.412862,37.7509762
466,-122.413384,37.7509429
467,-122.4139499,37.7509102
468,-122.4150359,37.7508444
469,-122.416129,37.7507783
470,-122.4172209,37.7507122
471,-122.4183106,37.7506461
472,-122.4188715,37.7506129
473,-122.4194007,37.7505801
474,-122.4205077,37.750513
475,-122.4214386,37.7504566
476,-122.4227756,37.7503756
477,-122.4238307,37.7503117
478,-122.4250891,37.7502355
479,-122.4272941,37.7501017
480,-122.4283894,37.7500356
481,-122.4295003,37.7499683
482,-122.4317174,37.749834
483,-122.4339554,37.7496984
484,-122.436157,37.7495652
485,-122.4383382,37.7494329
486,-122.4393904,37.7493692
487,-122.4404764,37.7493034
488,-122.4415447,37.7492387
489,-122.4425979,37.7491749
490,-122.3858824,37.7529706
491,-122.3868411,37.7529171
492,-122.3887861,37.7527748
493,-122.3897159,37.7527267
494,-122.3926627,37.7525484
495,-122.393619,37.752485
496,-122.3946262,37.752432
497,-122.396513,37.752311
498,-122.398452,37.752194
499,-122.39883,37.752044
500,-122.4004367,37.7520763
501,-122.4013751,37.7520173
502,-122.402323,37.75197
503,-122.4042586,37.7518525
504,-122.405222,37.7517957
505,-122.4061793,37.7517386
506,-122.4491792,37.7186878
507,-122.4495806,37.7180513
508,-122.4317156,37.7643171
509,-122.4315626,37.7627128
510,-122.3930445,37.7615052
511,-122.3921817,37.757709
512,-122.3918937,37.755163
513,-122.392488,37.7641169
514,-122.3764886,37.8278368
515,-122.3767654,37.8282685
516,-122.4143409,37.7706075
517,-122.4216211,37.728876
518,-122.4213845,37.7283168
519,-122.4208885,37.7271178
520,-122.4203958,37.7259163
521,-122.4198891,37.7247137
522,-122.4416489,37.7642093
523,-122.4343498,37.7401123
524,-122.4343274,37.7394544
525,-122.4339687,37.7381499
526,-122.4723581,37.8017716
527,-122.4722811,37.8015043
528,-122.4698931,37.8009806
529,-122.4883452,37.7851981
530,-122.4894135,37.7851012
531,-122.4904901,37.7851414
532,-122.4592978,37.7869244
533,-122.460422,37.7868735
534,-122.4625658,37.7867765
535,-122.4647071,37.7866795
536,-122.4657764,37.7866311
537,-122.4668475,37.7865827
538,-122.4679218,37.786534
539,-122.4689921,37.7864856
540,-122.470059,37.7864373
541,-122.4722023,37.7863403
542,-122.4732717,37.7862919
543,-122.474395,37.7862411
544,-122.4755201,37.7861901
545,-122.4765897,37.7861417
546,-122.4776613,37.7860933
547,-122.4787344,37.7860447
